ID;Nome do Cliente;Região;Representante;Data do Pedido;Receita;Produto;Status;Observações
1001;Carlos Mendes;Sudeste;Bruno Carvalho;15/01/2024;R$ 4320,00;Licença de Software;Fechado Ganho;
1002;Ana Lima;Sul;Tamara Bastos;15/01/2024;R$ 1150,00;Consultoria;fechado ganho;
1003;ROBERTO CARVALHO;Nordeste;BRUNO CARVALHO;5 jan. 2024;R$ 8900,00;Hardware;Fechado Ganho;cliente recorrente
1004;Fernanda Jorge;Sudeste;Tamara Bastos;15/01/2024;R$ 4320,00;Licença de Software;Fechado Ganho;duplicado
1005;Paulo Bastos;centro-oeste;Tamara Bastos;14/02/2024;R$ 3750,00;Consultoria;Fechado Ganho;
1006;Paulo Bastos;Centro-Oeste;Raquel Verde;2024-02-20;990;Hardware;fechado perdido;fechado perdido
1007;mariana verde;Sul;Bruno Carvalho;3 março 2024;R$ 12.400,00;Pacote Empresarial;Fechado Ganho;
1008;Lucas Carvalho;Nordeste;Tamara Bastos;10/03/2024;R$ 2100,00;Licença de Software;Fechado Ganho;receita ausente
1009;Paulo Bastos;Centro-oeste;Tamara Bastos;22/03/2024;R$ 5600,00;Licença de Software;fechado ganho;
1010;Mariana Verde;Sul;Raquel Verde;1 abr. 2024;R$ 3300,00;Hardware;Fechado Ganho;
1011;Lucas Carvalho;Nordeste;Tamara Bastos;08/04/2024;R$ 1800,00;Consultoria;Fechado Perdido;
1012;Fernanda jorge;sudeste;Raquel Verde;2024-04-12;R$ 12400,00;Pacote Empresarial;Fechado Perdido;possível duplicado
1013;Carlos Mendes;Sudeste;Bruno Carvalho;19/04/2024;R$ 7250,00;Licença de Software;Fechado Ganho;
1014;Lucas Carvalho;Nordeste;Bruno Carvalho;25/04/2024;R$ 4100,00;Pacote Empresarial;Fechado Perdido;
1015;paulo bastos;Centro-oeste;Tamara Bastos;2 maio 2024;R$ 2200,00;Licença de Software;Fechado Perdido;
1016;Mariana Verde;Sul;Raquel Verde;09/05/2024;9800;Pacote Empresarial;Fechado Ganho;
1017;Lucas Carvalho;Nordeste;Tamara Bastos;2024-05-17;R$ 660,00;Consultoria;Fechado Ganho;closed won
1018;Carlos Mendes;Sudeste;Bruno Carvalho;02/06/2024;R$ 3400,00;Licença de Software;Fechado Ganho;receita ausente
1019;Paulo Bastos;Centro-oeste;TAMARA BASTOS;10 jun. 2024;R$ 5100,00;Licença de Software;Fechado Ganho;receita ausente
1020;Fernanda Jorge;Sudeste;Bruno Carvalho;18/06/2024;R$ 2900,00;Licença de Software;Fechado Perdido;
1021;lucas carvalho;Nordeste;Raquel Verde;2024-06-25;R$ 8700,00;Pacote Empresarial;Fechado Ganho;
1022;Mariana Verde;Sul;Tamara Bastos;28/06/2024;R$ 990,00;Hardware;Fechado Ganho;
1023;Carlos Mendes;Centro-Oeste;Bruno Carvalho;04/07/2024;R$ 3200,00;Licença de Software;Fechado Ganho;
1024;Daniel Parente;Norte;Bruno Carvalho;11/07/2024;R$ 1450,00;Consultoria;Fechado Ganho;sem representante
1025;Mônica Belo;Nordeste;Raquel Verde;19/07/2024;R$ 6600,00;Licença de Software;Fechado Ganho;
1026;PRISCILA PINTO;Sul;Bruno Carvalho;4 jul. 2024;R$ 3200,00;Licença de Software;Fechado Ganho;
1027;Daniel Parente;Norte;Bruno Carvalho;11/07/2024;R$ 1450,00;Consultoria;Fechado Ganho;sem representante
1028;Mônica Belo;Nordeste;Raquel Verde;19/07/2024;R$ 6600,00;Licença de Software;Fechado Ganho;
1029;carlos ribeiro;Centro-oeste;Tamara Bastos;2024-07-26;R$ 3750,00;Hardware;Fechado Ganho;possível duplicado
1030;FÁBIO DUARTE;SUL;BRUNO CARVALHO;2 ago. 2024;R$ 4800,00;Hardware;Fechado Ganho;
